Fecha,Horas
29-04,8
30-04,10
01-05,0
02-05,10
03-05,6
13-05,9
14-05,10
15-05,0
16-05,10
17-05,8
20-05,8
21-05,0
22-05,0
23-05,12
24-05,3
27-05,8
28-05,0
29-05,0
30-05,12
31-05,5
